id,standard_id,scale_type,level,descriptor_ko,cut_score,source_id
11159,,achievement_level,A,도달한 능력 정도가 매우 우수한 수준,90% 이상,ncic_2022_eng_level_1848
11160,,achievement_level,B,도달한 능력 정도가 우수한 수준,80% 이상 90% 미만,ncic_2022_eng_level_1848
11161,,achievement_level,C,도달한 능력 정도가 보통 수준,70% 이상 80% 미만,ncic_2022_eng_level_1848
11162,,achievement_level,D,도달한 능력 정도가 다소 제한된 수준,60% 이상 70% 미만,ncic_2022_eng_level_1848
11163,,achievement_level,E,도달한 능력 정도가 제한된 수준(최소 성취수준). 40% 미만은 미이수,40% 이상 60% 미만,ncic_2022_eng_level_1848
29127,[10공영1-01-02],achievement_level,A,다양한 유형의 길고 복잡한 말이나 글에서 사실 정보와 맥락 정보를 활용하여 주제나 요지를 정확하게 파악할 수 있다.,,ncic_2022_eng_level_781
29128,[10공영1-01-02],achievement_level,B,다양한 유형의 길고 복잡한 말이나 글에서 사실 정보와 맥락 정보를 활용하여 주제나 요지를 비교적 정확하게 파악할 수 있다.,,ncic_2022_eng_level_781
29129,[10공영1-01-02],achievement_level,C,다양한 유형의 말이나 글에서 사실 정보를 활용하여 주제나 요지를 대략적으로 파악할 수 있다.,,ncic_2022_eng_level_781
29130,[10공영1-01-02],achievement_level,D,다양한 유형의 말이나 글에서 사실 정보를 활용하여 주제나 요지를 부분적으로 파악할 수 있다.,,ncic_2022_eng_level_781
29131,[10공영1-01-02],achievement_level,E,다양한 유형의 짧고 간단한 말이나 글에서 단순한 사실 정보를 활용하여 주제나 요지를 제한적으로 파악할 수 있다.,,ncic_2022_eng_level_781
29147,[10공영1-01-06],achievement_level,A,다양한 유형의 길고 복잡한 말이나 글에서 사실 정보와 맥락 정보를 활용하여 내용의 전개 방식이나 구조를 정확하게 파악할 수 있다.,,ncic_2022_eng_level_781
29148,[10공영1-01-06],achievement_level,B,다양한 유형의 길고 복잡한 말이나 글에서 사실 정보와 맥락 정보를 활용하여 내용의 전개 방식이나 구조를 비교적 정확하게 파악할 수 있다.,,ncic_2022_eng_level_781
29149,[10공영1-01-06],achievement_level,C,다양한 유형의 말이나 글에서 사실 정보를 활용하여 내용의 전개 방식이나 구조를 대략적으로 파악할 수 있다.,,ncic_2022_eng_level_781
29150,[10공영1-01-06],achievement_level,D,다양한 유형의 말이나 글에서 사실 정보를 활용하여 내용의 전개 방식이나 구조를 부분적으로 파악할 수 있다.,,ncic_2022_eng_level_781
29151,[10공영1-01-06],achievement_level,E,다양한 유형의 짧고 간단한 말이나 글에서 단순한 사실 정보를 활용하여 내용의 전개 방식이나 구조를 제한적으로 파악할 수 있다.,,ncic_2022_eng_level_781
29152,[10공영1-01-07],achievement_level,A,말이나 글의 이해를 위한 적절한 전략을 다양하게 적용할 수 있다.,,ncic_2022_eng_level_781
29153,[10공영1-01-07],achievement_level,B,말이나 글의 이해를 위한 적절한 전략을 비교적 다양하게 적용할 수 있다.,,ncic_2022_eng_level_781
29154,[10공영1-01-07],achievement_level,C,말이나 글의 이해를 위한 적절한 전략을 대략적으로 적용할 수 있다.,,ncic_2022_eng_level_781
29155,[10공영1-01-07],achievement_level,D,말이나 글의 이해를 위한 적절한 전략을 부분적으로 적용할 수 있다.,,ncic_2022_eng_level_781
29156,[10공영1-01-07],achievement_level,E,말이나 글의 이해를 위한 적절한 전략을 제한적으로 적용할 수 있다.,,ncic_2022_eng_level_781
29157,[10공영1-01-08],achievement_level,A,말이나 글을 분석할 때 화자나 필자의 다양한 관점이나 의견을 적극적으로 포용하는 태도를 보인다.,,ncic_2022_eng_level_781
29158,[10공영1-01-08],achievement_level,C,말이나 글을 분석할 때 화자나 필자의 다양한 관점이나 의견을 비교적 적극적으로 포용하는 태도를 보인다.,,ncic_2022_eng_level_781
29159,[10공영1-01-08],achievement_level,E,말이나 글을 분석할 때 화자나 필자의 다양한 관점이나 의견을 포용하려고 노력하는 태도를 보인다. (2) 표현 영역 성취기준,,ncic_2022_eng_level_781
29233,[10공영1-01-04],achievement_level,A,다양한 유형의 길고 복잡한 말이나 글에서 사실 정보와 맥락 정보를 활용하여 일이나 사건의 논리적 관계를 정확하게 파악할 수 있다.,,ncic_2022_eng_level_781
29234,[10공영1-01-04],achievement_level,B,다양한 유형의 길고 복잡한 말이나 글에서 사실 정보와 맥락 정보를 활용하여 일이나 사건의 논리적 관계를 비교적 정확하게 파악할 수 있다.,,ncic_2022_eng_level_781
29235,[10공영1-01-04],achievement_level,C,다양한 유형의 말이나 글에서 사실 정보를 활용하여 일이나 사건의 논리적 관계를 대략적으로 파악할 수 있다.,,ncic_2022_eng_level_781
29236,[10공영1-01-04],achievement_level,D,다양한 유형의 말이나 글에서 사실 정보를 활용하여 일이나 사건의 논리적 관계를 부분적으로 파악할 수 있다.,,ncic_2022_eng_level_781
29237,[10공영1-01-04],achievement_level,E,다양한 유형의 짧고 간단한 말이나 글에서 단순한 사실 정보를 활용하여 일이나 사건의 논리적 관계를 제한적으로 파악할 수 있다.,,ncic_2022_eng_level_781
29288,[10공영1-02-06],achievement_level,A,말이나 글의 어휘나 표현을 점검하여 다양하고 적절한 어휘와 언어 형식으로 내용을 명확하게 전달할 수 있다.,,ncic_2022_eng_level_781
29289,[10공영1-02-06],achievement_level,B,말이나 글의 어휘나 표현을 점검하여 다양하고 적절한 어휘와 언어 형식으로 내용을 비교적 명확하게 전달할 수 있다.,,ncic_2022_eng_level_781
29290,[10공영1-02-06],achievement_level,C,말이나 글의 어휘나 표현을 점검하여 적절한 어휘와 언어 형식으로 내용을 대략적으로 전달할 수 있다.,,ncic_2022_eng_level_781
29291,[10공영1-02-06],achievement_level,D,말이나 글의 어휘나 표현을 점검하여 적절한 어휘와 언어 형식으로 내용을 부분적으로 전달할 수 있다.,,ncic_2022_eng_level_781
29292,[10공영1-02-06],achievement_level,E,말이나 글의 어휘나 표현을 점검하여 주어진 어휘와 언어 형식으로 내용을 제한적으로 전달할 수 있다.,,ncic_2022_eng_level_781
29296,[10공영1-01-01],achievement_level,A,다양한 유형의 길고 복잡한 말이나 글에서 사실 정보와 맥락 정보를 활용하여 세부 정보를 정확하게 파악할 수 있다.,,ncic_2022_eng_level_781
29297,[10공영1-01-01],achievement_level,B,다양한 유형의 길고 복잡한 말이나 글에서 사실 정보와 맥락 정보를 활용하여 세부 정보를 비교적 정확하게 파악할 수 있다.,,ncic_2022_eng_level_781
29298,[10공영1-01-01],achievement_level,C,다양한 유형의 말이나 글에서 사실 정보를 활용하여 세부 정보를 대략적으로 파악할 수 있다.,,ncic_2022_eng_level_781
29299,[10공영1-01-01],achievement_level,D,다양한 유형의 말이나 글에서 사실 정보를 활용하여 세부 정보를 부분적으로 파악할 수 있다.,,ncic_2022_eng_level_781
29300,[10공영1-01-01],achievement_level,E,다양한 유형의 짧고 간단한 말이나 글에서 단순한 사실 정보를 활용하여 세부 정보를 제한적으로 파악할 수 있다.,,ncic_2022_eng_level_781
29301,[10공영1-01-03],achievement_level,A,다양한 유형의 길고 복잡한 말이나 글에서 사실 정보와 맥락 정보를 활용하여 말이나 글의 분위기나 화자나 인물의 심정 및 의도 등을 정확하게 추론할 수 있다.,,ncic_2022_eng_level_781
29302,[10공영1-01-03],achievement_level,B,다양한 유형의 길고 복잡한 말이나 글에서 사실 정보와 맥락 정보를 활용하여 말이나 글의 분위기나 화자나 인물의 심정 및 의도 등을 비교적 정확하게 추론할 수 있다.,,ncic_2022_eng_level_781
29303,[10공영1-01-03],achievement_level,C,다양한 유형의 말이나 글에서 사실 정보를 활용하여 말이나 글의 분위기나 화자나 인물의 심정 및 의도 등을 대략적으로 추론할 수 있다.,,ncic_2022_eng_level_781
29304,[10공영1-01-03],achievement_level,D,다양한 유형의 말이나 글에서 사실 정보를 활용하여 말이나 글의 분위기나 화자나 인물의 심정 및 의도 등을 부분적으로 추론할 수 있다.,,ncic_2022_eng_level_781
29305,[10공영1-01-03],achievement_level,E,다양한 유형의 짧고 간단한 말이나 글에서 단순한 사실 정보를 활용하여 말이나 글의 분위기나 화자나 인물의 심정 및 의도 등을 제한적으로 추론할 수 있다.,,ncic_2022_eng_level_781
29316,[10공영1-02-05],achievement_level,A,듣거나 읽은 내용을 다양하고 적절한 어휘와 언어 형식으로 요약하여 정확하게 말하거나 기술할 수 있다.,,ncic_2022_eng_level_781
29317,[10공영1-02-05],achievement_level,B,듣거나 읽은 내용을 다양하고 적절한 어휘와 언어 형식으로 요약하여 비교적 정확하게 말하거나 기술할 수 있다.,,ncic_2022_eng_level_781
29318,[10공영1-02-05],achievement_level,C,듣거나 읽은 내용을 다양하고 적절한 어휘와 언어 형식으로 요약하여 대략적으로 말하거나 기술할 수 있다.,,ncic_2022_eng_level_781
29319,[10공영1-02-05],achievement_level,D,듣거나 읽은 내용을 다양하고 적절한 어휘와 언어 형식으로 요약하여 부분적으로 말하거나 기술할 수 있다.,,ncic_2022_eng_level_781
29320,[10공영1-02-05],achievement_level,E,듣거나 읽은 내용을 주어진 어휘와 언어 형식으로 요약하여 제한적으로 말하거나 기술할 수 있다.,,ncic_2022_eng_level_781
29321,[10공영1-02-07],achievement_level,A,적절한 전략과 다양한 매체를 다양하게 활용하여 상황과 목적에 맞게 말하거나 쓸 수 있다.,,ncic_2022_eng_level_781
29322,[10공영1-02-07],achievement_level,B,적절한 전략과 다양한 매체를 비교적 다양하게 활용하여 상황과 목적에 맞게 말하거나 쓸 수 있다.,,ncic_2022_eng_level_781
29323,[10공영1-02-07],achievement_level,C,적절한 전략과 다양한 매체를 대략적으로 활용하여 상황과 목적에 맞게 말하거나 쓸 수 있다.,,ncic_2022_eng_level_781
29324,[10공영1-02-07],achievement_level,D,적절한 전략과 다양한 매체를 부분적으로 활용하여 상황과 목적에 맞게 말하거나 쓸 수 있다.,,ncic_2022_eng_level_781
29325,[10공영1-02-07],achievement_level,E,적절한 전략과 다양한 매체를 제한적으로 활용하여 상황과 목적에 맞게 말하거나 쓸 수 있다.,,ncic_2022_eng_level_781
29329,[10공영1-01-05],achievement_level,A,다양한 유형의 길고 복잡한 말이나 글에 포함된 표현의 함축적 의미를 사실 정보와 맥락 정보를 활용하여 정확하게 추론할 수 있다.,,ncic_2022_eng_level_781
29330,[10공영1-01-05],achievement_level,B,다양한 유형의 길고 복잡한 말이나 글에 포함된 표현의 함축적 의미를 사실 정보와 맥락 정보를 활용하여 비교적 정확하게 추론할 수 있다.,,ncic_2022_eng_level_781
29331,[10공영1-01-05],achievement_level,C,다양한 유형의 말이나 글에 포함된 표현의 함축적 의미를 사실 정보를 활용하여 대략적으로 추론할 수 있다.,,ncic_2022_eng_level_781
29332,[10공영1-01-05],achievement_level,D,다양한 유형의 말이나 글에 포함된 표현의 함축적 의미를 사실 정보를 활용하여 부분적으로 추론할 수 있다.,,ncic_2022_eng_level_781
29333,[10공영1-01-05],achievement_level,E,다양한 유형의 짧고 간단한 말이나 글에 포함된 표현의 함축적 의미를 단순한 사실 정보를 활용하여 제한적으로 추론할 수 있다.,,ncic_2022_eng_level_781
29339,[10공영1-02-02],achievement_level,A,사실적 정보나 지식을 다양하고 적절한 어휘와 언어 형식을 활용하여 말이나 글로 정확하게 전달할 수 있다.,,ncic_2022_eng_level_781
29340,[10공영1-02-02],achievement_level,B,사실적 정보나 지식을 다양하고 적절한 어휘와 언어 형식을 활용하여 말이나 글로 비교적 정확하게 전달할 수 있다.,,ncic_2022_eng_level_781
29341,[10공영1-02-02],achievement_level,C,사실적 정보나 지식을 적절한 어휘와 언어 형식을 활용하여 말이나 글로 대략적으로 전달할 수 있다.,,ncic_2022_eng_level_781
29342,[10공영1-02-02],achievement_level,D,사실적 정보나 지식을 적절한 어휘와 언어 형식을 활용하여 말이나 글로 부분적으로 전달할 수 있다.,,ncic_2022_eng_level_781
29343,[10공영1-02-02],achievement_level,E,사실적 정보나 지식을 주어진 어휘와 언어 형식을 활용하여 말이나 글로 제한적으로 전달할 수 있다.,,ncic_2022_eng_level_781
29352,[10공영1-02-01],achievement_level,A,"실물, 그림, 사진, 도표 등을 활용하여 다양하고 적절한 어휘와 언어 형식으로 내용을 정확하게 설명할 수 있다.",,ncic_2022_eng_level_781
29353,[10공영1-02-01],achievement_level,B,"실물, 그림, 사진, 도표 등을 활용하여 다양하고 적절한 어휘와 언어 형식으로 내용을 비교적 정확하게 설명할 수 있다.",,ncic_2022_eng_level_781
29354,[10공영1-02-01],achievement_level,C,"실물, 그림, 사진, 도표 등을 활용하여 적절한 어휘와 언어 형식으로 내용을 대략적으로 설명할 수 있다.",,ncic_2022_eng_level_781
29355,[10공영1-02-01],achievement_level,D,"실물, 그림, 사진, 도표 등을 활용하여 적절한 어휘와 언어 형식으로 내용을 부분적으로 설명할 수 있다.",,ncic_2022_eng_level_781
29356,[10공영1-02-01],achievement_level,E,"실물, 그림, 사진, 도표 등을 활용하여 주어진 어휘와 언어 형식으로 내용을 제한적으로 설명할 수 있다.",,ncic_2022_eng_level_781
29357,[10공영1-02-03],achievement_level,A,경험이나 계획 등을 다양하고 적절한 어휘와 언어 형식을 활용하여 정확하게 말하거나 기술할 수 있다.,,ncic_2022_eng_level_781
29358,[10공영1-02-03],achievement_level,B,경험이나 계획 등을 다양하고 적절한 어휘와 언어 형식을 활용하여 비교적 정확하게 말하거나 기술할 수 있다.,,ncic_2022_eng_level_781
29359,[10공영1-02-03],achievement_level,C,경험이나 계획 등을 적절한 어휘와 언어 형식을 활용하여 대략적으로 말하거나 기술할 수 있다.,,ncic_2022_eng_level_781
29360,[10공영1-02-03],achievement_level,D,경험이나 계획 등을 적절한 어휘와 언어 형식을 활용하여 부분적으로 말하거나 기술할 수 있다.,,ncic_2022_eng_level_781
29361,[10공영1-02-03],achievement_level,E,경험이나 계획 등을 주어진 어휘와 언어 형식을 활용하여 제한적으로 말하거나 기술할 수 있다.,,ncic_2022_eng_level_781
29362,[10공영1-02-04],achievement_level,A,"자신의 생각이나 의견, 감정, 감상 등을 다양하고 적절한 어휘와 언어 형식을 활용하여 명확하게 표현할 수 있다.",,ncic_2022_eng_level_781
29363,[10공영1-02-04],achievement_level,B,"자신의 생각이나 의견, 감정, 감상 등을 다양하고 적절한 어휘와 언어 형식을 활용하여 비교적 명확하게 표현할 수 있다.",,ncic_2022_eng_level_781
29364,[10공영1-02-04],achievement_level,C,"자신의 생각이나 의견, 감정, 감상 등을 적절한 어휘와 언어 형식을 활용하여 대략적으로 표현할 수 있다.",,ncic_2022_eng_level_781
29365,[10공영1-02-04],achievement_level,D,"자신의 생각이나 의견, 감정, 감상 등을 적절한 어휘와 언어 형식을 활용하여 부분적으로 표현할 수 있다.",,ncic_2022_eng_level_781
29366,[10공영1-02-04],achievement_level,E,"자신의 생각이나 의견, 감정, 감상 등을 주어진 어휘와 언어 형식을 활용하여 제한적으로 표현할 수 있다.",,ncic_2022_eng_level_781
29367,[10공영1-02-08],achievement_level,A,말하거나 쓸 때 상대방의 생각이나 관점을 존중하고 언어 예절을 갖추어 적극적으로 표현하는 태도를 보인다.,,ncic_2022_eng_level_781
29368,[10공영1-02-08],achievement_level,C,말하거나 쓸 때 상대방의 생각이나 관점을 존중하고 언어 예절을 갖추어 비교적 적극적으로 표현하는 태도를 보인다.,,ncic_2022_eng_level_781
