id,category_l1,category_l2,description_ko,grade_band,curriculum_version,source_id
CF-2015-1-1,정보 전달하기와 요구하기,,(정체) 확인하기와 상술하기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-1-2,정보 전달하기와 요구하기,,진술하기와 보고하기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-1-3,정보 전달하기와 요구하기,,수정하기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-1-4,정보 전달하기와 요구하기,,질문하기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-1-5,정보 전달하기와 요구하기,,질문에 답하기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-2-1,사실에 대한 태도 표현하기,,동의하기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-2-2,사실에 대한 태도 표현하기,,이의 제기하기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-2-3,사실에 대한 태도 표현하기,,동의나 이의 여부 묻기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-2-4,사실에 대한 태도 표현하기,,부인하기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-3-1,"지식, 기억, 믿음 표현하기",,알고 있음 표현하기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-3-2,"지식, 기억, 믿음 표현하기",,알고 있는지 묻기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-3-3,"지식, 기억, 믿음 표현하기",,궁금증 표현하기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-3-4,"지식, 기억, 믿음 표현하기",,모르고 있음 표현하기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-3-5,"지식, 기억, 믿음 표현하기",,기억이나 망각 표현하기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-3-6,"지식, 기억, 믿음 표현하기",,기억이나 망각 여부 묻기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-3-7,"지식, 기억, 믿음 표현하기",,상기시켜 주기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-3-8,"지식, 기억, 믿음 표현하기",,확실성 정도 표현하기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-4-1,양상 표현하기,,가능성 정도 묻기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-4-2,양상 표현하기,,가능성 정도 표현하기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-4-3,양상 표현하기,,의무 여부 묻기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-4-4,양상 표현하기,,의무 표현하기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-4-5,양상 표현하기,,의무 부인하기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-4-6,양상 표현하기,,허가 여부 묻기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-4-7,양상 표현하기,,허가하기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-4-8,양상 표현하기,,불허하기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-4-9,양상 표현하기,,능력 여부 묻기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-4-10,양상 표현하기,,능력 표현하기,,2015,ncic_2015_eng_byeol14_hwp
