standard_id,standard_id_norm,curriculum_version,grade_band,grade_level,subject_code,subject_name_ko,domain_code,domain_name_ko,standard_text_ko,standard_text_en,cognitive_level,cefr_alignment,communication_function,grammar_elements,text_type,topic_tags,target_vocab_level,source_document,source_page,effective_date,verification_status,last_verified,notes
[10공영2-02-09],2022_10공영2-02-09,2022,high,1-3학년,ENG,공통영어2,EXP,표현,다른 사람과 의견을 조율하며 문제 해결을 위해 협력한다.,,,,,,,,,KICE STAS 학생평가지원포털 (stas.moe.go.kr),,,kice_verified,2026-07-04,STAS API 자동수집. 원천 대조(별책14) 필요. course=영어 | NCIC 성취수준 문서 코드·문구 실재 확인
[10기영1-02-01],2022_10기영1-02-01,2022,high,1-3학년,ENG,기본영어1,표현 ,표현 영역,"실물, 그림, 사진, 도표 등에 포함된 사실적 정보를 설명한다.",,,,,,,,,KICE STAS 학생평가지원포털 (stas.moe.go.kr),,,kice_verified,2026-07-04,STAS API 자동수집. 원천 대조(별책14) 필요. course=영어 | NCIC 성취수준 문서 코드·문구 실재 확인
[10기영1-02-02],2022_10기영1-02-02,2022,high,1-3학년,ENG,기본영어1,표현 ,표현 영역,경험이나 사건을 묘사한다.,,,,,,,,,KICE STAS 학생평가지원포털 (stas.moe.go.kr),,,kice_verified,2026-07-04,STAS API 자동수집. 원천 대조(별책14) 필요. course=영어 | NCIC 성취수준 문서 코드·문구 실재 확인
[10기영1-02-03],2022_10기영1-02-03,2022,high,1-3학년,ENG,기본영어1,표현 ,표현 영역,자신의 의견이나 감정을 표현한다.,,,,,,,,,KICE STAS 학생평가지원포털 (stas.moe.go.kr),,,kice_verified,2026-07-04,STAS API 자동수집. 원천 대조(별책14) 필요. course=영어 | NCIC 성취수준 문서 코드·문구 실재 확인
[10기영1-02-04],2022_10기영1-02-04,2022,high,1-3학년,ENG,기본영어1,표현 ,표현 영역,목적에 적합한 매체를 활용하여 정보를 전달한다.,,,,,,,,,KICE STAS 학생평가지원포털 (stas.moe.go.kr),,,kice_verified,2026-07-04,STAS API 자동수집. 원천 대조(별책14) 필요. course=영어 | NCIC 성취수준 문서 코드·문구 실재 확인
[10기영1-02-05],2022_10기영1-02-05,2022,high,1-3학년,ENG,기본영어1,표현 ,표현 영역,주어진 서식에 맞게 말하거나 글을 쓸 수 있다.,,,,,,,,,KICE STAS 학생평가지원포털 (stas.moe.go.kr),,,kice_verified,2026-07-04,STAS API 자동수집. 원천 대조(별책14) 필요. course=영어 | NCIC 성취수준 문서 코드·문구 실재 확인
[10기영1-02-06],2022_10기영1-02-06,2022,high,1-3학년,ENG,기본영어1,표현 ,표현 영역,말이나 글의 목적에 맞게 내용이나 표현을 점검하여 고쳐 쓴다.,,,,,,,,,KICE STAS 학생평가지원포털 (stas.moe.go.kr),,,kice_verified,2026-07-04,STAS API 자동수집. 원천 대조(별책14) 필요. course=영어 | NCIC 성취수준 문서 코드·문구 실재 확인
[10기영1-02-07],2022_10기영1-02-07,2022,high,1-3학년,ENG,기본영어1,표현 ,표현 영역,적절한 말하기 또는 쓰기 전략을 적용하고 성찰한다.,,,,,,,,,KICE STAS 학생평가지원포털 (stas.moe.go.kr),,,kice_verified,2026-07-04,STAS API 자동수집. 원천 대조(별책14) 필요. course=영어 | NCIC 성취수준 문서 코드·문구 실재 확인
[10기영1-02-08],2022_10기영1-02-08,2022,high,1-3학년,ENG,기본영어1,표현 ,표현 영역,의사소통 활동에 흥미와 자신감을 가지고 능동적으로 참여한다.,,,,,,,,,KICE STAS 학생평가지원포털 (stas.moe.go.kr),,,kice_verified,2026-07-04,STAS API 자동수집. 원천 대조(별책14) 필요. course=영어 | NCIC 성취수준 문서 코드·문구 실재 확인
[10기영2-02-01],2022_10기영2-02-01,2022,high,1-3학년,ENG,기본영어2,표현 ,표현 영역,"실물, 그림, 사진, 도표 등에 포함된 사실적 정보를 설명한다.",,,,,,,,,KICE STAS 학생평가지원포털 (stas.moe.go.kr),,,kice_verified,2026-07-04,STAS API 자동수집. 원천 대조(별책14) 필요. course=영어 | NCIC 성취수준 문서 코드·문구 실재 확인
