id,function_id,example_en,example_ko,elementary_recommended,source_id
1,CF-2015-1-1,That’s/It’s/They’re ... .,,1,ncic_2015_eng_byeol14_hwp
2,CF-2015-1-1,Is this your ... ?,,1,ncic_2015_eng_byeol14_hwp
3,CF-2015-1-1,The man over there is Mr. Kim.,,0,ncic_2015_eng_byeol14_hwp
4,CF-2015-1-1,The small one (with the blue buttons).,,0,ncic_2015_eng_byeol14_hwp
5,CF-2015-1-1,Ms. Anderson is the owner of the restaurant.,,0,ncic_2015_eng_byeol14_hwp
6,CF-2015-1-2,My sister is a nurse/... .,,1,ncic_2015_eng_byeol14_hwp
7,CF-2015-1-2,It’s on the right/left.,,1,ncic_2015_eng_byeol14_hwp
8,CF-2015-1-2,I’m taller than ... .,,1,ncic_2015_eng_byeol14_hwp
9,CF-2015-1-2,She runs as fast as ... .,,0,ncic_2015_eng_byeol14_hwp
10,CF-2015-1-2,I met ... (yesterday).,,1,ncic_2015_eng_byeol14_hwp
11,CF-2015-1-2,There is a store on the corner.,,0,ncic_2015_eng_byeol14_hwp
12,CF-2015-1-2,The train has left.,,0,ncic_2015_eng_byeol14_hwp
13,CF-2015-1-2,They will ... .,,1,ncic_2015_eng_byeol14_hwp
14,CF-2015-1-2,He said the shop was closed.,,0,ncic_2015_eng_byeol14_hwp
15,CF-2015-1-3,"No, it isn’t.",,1,ncic_2015_eng_byeol14_hwp
16,CF-2015-1-3,(Sorry.) That’s/It’s not right.,,1,ncic_2015_eng_byeol14_hwp
17,CF-2015-1-3,"(No,) this is MY bag.",,1,ncic_2015_eng_byeol14_hwp
18,CF-2015-1-3,(I think) you’ve made a mistake.,,0,ncic_2015_eng_byeol14_hwp
19,CF-2015-1-4,Do you have ... ?,,1,ncic_2015_eng_byeol14_hwp
20,CF-2015-1-4,"She’s a teacher, isn’t she?",,1,ncic_2015_eng_byeol14_hwp
21,CF-2015-1-4,Who is she?,,1,ncic_2015_eng_byeol14_hwp
22,CF-2015-1-4,What do you like?,,1,ncic_2015_eng_byeol14_hwp
23,CF-2015-1-4,Where do you live?,,1,ncic_2015_eng_byeol14_hwp
24,CF-2015-1-4,When is your birthday?,,1,ncic_2015_eng_byeol14_hwp
25,CF-2015-1-4,How much is it?,,1,ncic_2015_eng_byeol14_hwp
26,CF-2015-1-4,Whose notebook is this/that?,,1,ncic_2015_eng_byeol14_hwp
27,CF-2015-1-4,Which movie do you want to see?,,0,ncic_2015_eng_byeol14_hwp
28,CF-2015-1-5,"Yes, I do./No, I don’t.",,1,ncic_2015_eng_byeol14_hwp
29,CF-2015-1-5,"Yes, she is./No, she isn’t. She’s a ... .",,1,ncic_2015_eng_byeol14_hwp
30,CF-2015-1-5,She’s my friend.,,1,ncic_2015_eng_byeol14_hwp
31,CF-2015-1-5,I like ice cream.,,1,ncic_2015_eng_byeol14_hwp
32,CF-2015-1-5,In Busan.,,1,ncic_2015_eng_byeol14_hwp
33,CF-2015-1-5,August 15th.,,1,ncic_2015_eng_byeol14_hwp
34,CF-2015-1-5,It’s two dollars.,,1,ncic_2015_eng_byeol14_hwp
35,CF-2015-1-5,It’s Nancy’s.,,1,ncic_2015_eng_byeol14_hwp
36,CF-2015-1-5,I want to see ... .,,0,ncic_2015_eng_byeol14_hwp
37,CF-2015-1-5,(Because) ... .,,0,ncic_2015_eng_byeol14_hwp
38,CF-2015-2-1,"Me, too.",,1,ncic_2015_eng_byeol14_hwp
39,CF-2015-2-1,Same here.,,1,ncic_2015_eng_byeol14_hwp
40,CF-2015-2-1,Okay!/Good!/Fine!/Great!,,1,ncic_2015_eng_byeol14_hwp
41,CF-2015-2-1,"(Yes,) I agree.",,0,ncic_2015_eng_byeol14_hwp
42,CF-2015-2-1,That’s a good idea.,,0,ncic_2015_eng_byeol14_hwp
43,CF-2015-2-2,I don’t think/believe so.,,1,ncic_2015_eng_byeol14_hwp
44,CF-2015-2-2,I don’t agree/disagree (with you).,,0,ncic_2015_eng_byeol14_hwp
45,CF-2015-2-2,I’m against ... .,,0,ncic_2015_eng_byeol14_hwp
46,CF-2015-2-3,What do you think?,,1,ncic_2015_eng_byeol14_hwp
47,CF-2015-2-3,Don’t you agree?,,0,ncic_2015_eng_byeol14_hwp
48,CF-2015-2-3,Would/Do you agree with me?,,0,ncic_2015_eng_byeol14_hwp
49,CF-2015-2-4,"(No,) I didn’t.",,1,ncic_2015_eng_byeol14_hwp
50,CF-2015-2-4,That isn’t true.,,1,ncic_2015_eng_byeol14_hwp
51,CF-2015-2-4,That’s not right/correct.,,1,ncic_2015_eng_byeol14_hwp
52,CF-2015-3-1,I know (about) ... .,,1,ncic_2015_eng_byeol14_hwp
53,CF-2015-3-1,I heard/have heard (about) ... .,,0,ncic_2015_eng_byeol14_hwp
54,CF-2015-3-1,I’ve been told (about) ... .,,0,ncic_2015_eng_byeol14_hwp
55,CF-2015-3-1,I’m aware (of) ... .,,0,ncic_2015_eng_byeol14_hwp
